Path	Size	SHA-256	File classification	R01 ownership status	Review status	Finding or handoff IDs	Notes
.automation/README.md	5801	eafb60dfd16504e09275ee6701927c6118f0522db95e3cd92511aa8fb841c897	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.automation/lib/controller_hardening_v2.sh	48016	d67e2780d7968e5f25b0c7735486b140aa186708bbddda1b3d90cbb5f21f19a1	tooling	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.automation/lib/run_common.sh	56138	d08ac2827b16df86f0f86fbceb9e5677c72d38ba9853fd67570e87c95bcab619	tooling	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.automation/lib/telegram_notify.sh	15762	bae37f227389b264cefea86f1792d3642bc9393f0076408f680c02040a120e23	tooling	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.automation/lib/temp_inode_guard.sh	32343	f8cc0a7689aaba4a856cb012c7e51e1368eaf1c9f3a35ca42c43bbe6822f019f	tooling	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.codex/hooks.json	239	58bf90947f8736f354dc40291d94d66c2c0675f4f8689c08739fc6b1618a191b	data_or_metadata	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.codex/skills/graphify/.graphify_version	6	06386c15e573db2db7bd29599358db8e07fcd875b97213f2afd8240d1ae0812a	other	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.codex/skills/graphify/SKILL.md	41318	3898b1042721cad27d6f87ca44f638415a7f763203aefd86b90f9358ffea3a43	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.codex/skills/graphify/references/add-watch.md	2486	b3f67570240582689c2834b4831917550c2d1aaf042148868c39dcbf387ce3fd	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.codex/skills/graphify/references/exports.md	3362	ee47fae477f106d8aed38798c58493b5a7f060a0d9d2581ce6132302827bc14b	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.codex/skills/graphify/references/extraction-spec.md	4431	32d7decad42d58129c6694ea4e4ce1f72a531bc5161827d2095787e9448735e9	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.codex/skills/graphify/references/github-and-merge.md	2177	e5ebd90c7686f50363ff7a535556bc2f596d4c47ec1e6c8b95e11e36a0dfea2b	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.codex/skills/graphify/references/hooks.md	1267	b9a4e9f66813c6fc720589f1071d1a03c95756ab7101447e14e57291fe7844e5	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.codex/skills/graphify/references/query.md	13456	e563ddcb1e155aa230f107e5ef9380bc1249c5cd8241128de7ed8a7bd9c20cf5	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.codex/skills/graphify/references/transcribe.md	3173	676a1e39aa6d43cdfcc416ec56616e36f7bad74066a82bd33a9485515b9a865c	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.codex/skills/graphify/references/update.md	10425	661f559b3ff4f3db7ba47bc2ba1c7e19f1c1d66a36f647e49221eecb174f2228	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.env.example	2533	8c15f2d28ce8d4822911e4753bcf6345267d33c6f9e210c60c49df6cb0aa1192	other	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.gitattributes	413	fff9628fd61eec217522750bed304b13f3f33e1ff2745772730759e122e68994	other	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.gitignore	1438	6d6cd47ce4466d49195123a6a3b266cc8bc308e3979a1265c71690f17b6d36c3	other	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.graphifyignore	871	802e632173ed7b36e1c5867e9d7078e891f3163e089db551aa2691e7847bfa0c	other	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
.nvmrc	8	75053fb82fe4512318dd99556daf58b862fb81c96cf1153249b75f8116edf440	other	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
AGENTS.md	11375	94c414fbc522623678b3c5e468e7e5d7e8787d842546776f741d36a9e6beeb73	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
CHANGELOG.md	83889	3709b4aef1c7f8333b5c0afdf77da50bd9ee70de0867b8cf2deff18f3603aa48	documentation_or_text	OUT_OF_SCOPE	INVENTORIED		Included to reconcile every archive member.
